Date,Open,High,Low,Close,Volume
06/21/2022,34.56,36.35,33.88,35.07,"1,25,12,268"
06/17/2022,31.72,33.96,31.58,33.79,"1,23,40,908"
06/16/2022,31.24,32.32,30.15,31.43,"99,95,056"
06/15/2022,31.24,32.99,30.91,32.32,"1,07,64,284"
06/14/2022,29.39,32,29.03,31.54,"1,27,39,140"
06/13/2022,30.13,31.14,28.58,29.56,"1,37,92,816"
06-10-2022,31.5,32.98,30.79,32.27,"1,18,30,196"
06-09-2022,34.7,34.98,31.84,32.25,"1,31,35,252"
06-08-2022,35.35,38.25,33.96,34.68,"2,44,73,520"
06-07-2022,32.5,37.47,31.58,36.63,"2,49,67,468"
06-06-2022,33.83,34.03,31.76,32.03,"95,32,920"
06-03-2022,32.5,34.53,31.06,33.43,"1,82,34,452"
06-02-2022,29.75,34.13,28.89,33.5,"2,79,18,764"
06-01-2022,30.71,32.4,29.25,30.35,"1,49,91,732"
05/31/2022,34.3,34.98,30.13,31.19,"1,90,84,328"
05/27/2022,35.25,35.93,31.75,34.3,"3,00,45,076"
05/26/2022,29,37.12,28.68,32.12,"5,78,92,320"
05/25/2022,22.54,28.87,22.54,28.79,"4,00,60,000"
05/24/2022,23.51,23.55,21.68,22.29,"88,79,480"
05/23/2022,24.14,24.32,22.88,24.03,"69,93,924"
05/20/2022,24.95,25.6,22.44,23.92,"99,72,096"
05/19/2022,22.81,25.49,22.54,24.8,"1,27,20,540"
05/18/2022,24.1,24.96,22.54,22.87,"1,15,60,128"
05/17/2022,23.48,25.1,22.8,25.1,"1,04,44,948"
05/16/2022,24.7,24.79,22.7,22.95,"1,15,82,124"
05/13/2022,24.75,26.69,23.76,24.6,"2,39,30,864"
05-12-2022,20.76,27.02,19.44,22.39,"4,01,39,760"
05-11-2022,23.37,23.82,20,20.33,"1,66,81,372"
05-10-2022,25.75,26.52,22,23.38,"1,66,03,212"
05-09-2022,27.7,27.7,24.52,24.7,"1,32,64,936"
05-06-2022,29.32,30.14,27.56,28.68,"71,61,632"
05-05-2022,30.99,31.17,28.78,29.78,"70,15,448"
05-04-2022,29.8,31.94,28.93,31.77,"66,51,292"
05-03-2022,29.62,31.11,28.61,30.11,"73,12,684"
05-02-2022,30.91,31.35,28.18,29.89,"1,01,71,944"
04/29/2022,31.83,32.72,30.75,31.27,"51,43,420"
04/28/2022,32.57,33.15,30.13,32.33,"70,84,892"
04/27/2022,31.82,33.17,31.15,32.46,"52,23,496"
04/26/2022,33.91,34.2,31.54,31.9,"61,82,896"
04/25/2022,33.85,34.93,33.32,33.99,"61,39,116"
04/22/2022,35.64,36.58,33.89,34.56,"62,78,432"
04/21/2022,37.5,38.28,34.98,35.39,"67,37,468"
04/20/2022,38,38.08,36.66,37.21,"46,48,012"
04/19/2022,35.71,38.25,34.96,38.12,"94,16,676"
04/18/2022,37.5,37.81,34.31,35.37,"98,71,124"
04/14/2022,37.32,39.13,36.81,37.69,"1,00,02,332"
04/13/2022,36.03,38.03,35.51,37.68,"80,32,900"
04-12-2022,36.63,38.06,35.42,36.22,"79,96,544"
04-11-2022,35.76,37.06,35.15,36.73,"98,11,916"
04-08-2022,37.27,37.68,35.51,36.55,"1,03,71,516"
04-07-2022,38.53,39.18,35.39,37.5,"1,53,11,388"
04-06-2022,37.75,39.82,37.43,39.16,"1,62,67,832"
04-05-2022,42,42.11,38,38.4,"1,58,25,264"
04-04-2022,41.75,43.31,39.13,42.68,"1,85,60,308"
04-01-2022,47.23,47.44,38.82,41.25,"5,27,58,240"
03/31/2022,40.78,43.94,39.63,41.65,"4,49,68,920"
03/30/2022,43.75,45.83,41.25,41.71,"3,66,76,744"
03/29/2022,47.06,49.85,40.75,44.98,"7,20,45,960"
03/28/2022,38,47.71,37.89,47.4,"6,52,66,080"
03/25/2022,35.01,39.54,34.55,37.99,"5,35,35,480"
03/24/2022,33.5,35.87,31.69,35.6,"3,64,00,600"
03/23/2022,32.5,37.73,31.64,35.25,"9,83,99,360"
03/22/2022,23.85,31.45,23.61,30.79,"6,00,68,920"
03/21/2022,22.5,24.85,22.44,23.55,"1,58,12,448"
03/18/2022,19.94,24.36,19.73,22.7,"3,56,88,376"
03/17/2022,21.28,22.4,20.86,21.93,"1,37,96,480"
03/16/2022,21.28,22.5,20.5,21.72,"1,06,15,712"
03/15/2022,20.53,21.89,19.67,20.66,"1,41,15,192"
03/14/2022,23.36,23.58,19.4,19.53,"1,81,34,456"
03-11-2022,25.67,25.73,23.17,23.17,"88,22,152"
03-10-2022,25.98,26.01,24.56,25.14,"55,81,868"
03-09-2022,26.75,27.22,25.88,26.3,"55,98,388"
03-08-2022,25.26,27.25,24.27,25.75,"85,36,116"
03-07-2022,28.75,28.75,24.03,24.84,"1,25,91,460"
03-04-2022,29.5,30.13,27.65,27.92,"59,20,052"
03-03-2022,30.74,30.94,29.31,29.6,"43,82,408"
03-02-2022,29.88,30.67,29.09,30.49,"52,42,600"
03-01-2022,30.55,31.47,29.59,29.76,"43,84,084"
02/28/2022,30.25,31.57,29.22,30.84,"64,57,988"
02/25/2022,30.89,31.24,29.12,29.65,"68,41,020"
02/24/2022,26.38,31.43,26.03,31.15,"90,24,848"
02/23/2022,30.31,30.84,28.57,28.72,"53,93,008"
02/22/2022,29.55,30.83,28.55,29.52,"61,56,452"
02/18/2022,31.05,31.41,29.53,30.38,"62,14,156"
02/17/2022,31.69,32.71,30.56,30.85,"62,56,416"
02/16/2022,31.11,33.21,30.98,32.08,"80,07,724"
02/15/2022,30.24,31.81,29.82,31.54,"79,20,356"
02/14/2022,30.73,31.38,29.04,29.27,"91,02,704"
02-11-2022,30.62,32.47,30.19,31.06,"1,12,99,108"
02-10-2022,29.49,32.95,29,30.62,"1,48,26,148"
02-09-2022,28.52,31.18,28.25,31.07,"1,54,67,580"
02-08-2022,25.44,29.42,25.14,28.9,"1,98,39,624"
02-07-2022,25.75,26.35,24.69,25.59,"70,37,440"
02-04-2022,24.75,26,23.77,25.59,"76,27,164"
02-03-2022,25.38,26.74,24.43,24.81,"1,07,10,076"
02-02-2022,27.59,27.96,24.52,25.01,"1,31,16,540"
02-01-2022,28.25,29.16,27.07,28.15,"1,38,47,508"
01/31/2022,24.47,27.45,24.47,27.23,"1,39,97,092"
01/28/2022,23.85,24.5,21.9,24.48,"1,64,30,268"
01/27/2022,26.04,26.75,23.22,23.38,"1,46,79,824"
01/26/2022,25.28,29.75,25.08,25.82,"3,33,30,160"
01/25/2022,24.23,26.24,23.75,24.95,"1,42,97,020"
01/24/2022,24.76,25.72,21.57,25.04,"2,50,70,996"
01/21/2022,25.25,27.55,23.18,26.59,"2,21,20,044"
01/20/2022,26.98,28.8,25.4,25.67,"1,16,80,296"
01/19/2022,27.5,28.26,26.1,26.64,"96,14,316"
01/18/2022,28.28,28.44,26.1,27.23,"1,50,37,612"
01/14/2022,30.04,30.58,28.01,29.16,"1,54,01,912"
01/13/2022,32.13,32.63,30.42,30.62,"89,01,080"
01-12-2022,32.5,32.83,31.61,32.02,"62,98,036"
01-11-2022,32.53,34.2,31.85,32.58,"1,03,32,220"
01-10-2022,33.75,33.92,30,32.79,"2,20,47,924"
01-07-2022,39.94,40.08,33.13,35.16,"4,85,49,240"
01-06-2022,33.21,34.43,30.29,32.76,"2,42,05,920"
01-05-2022,37.1,37.21,32.29,32.34,"1,35,85,600"
01-04-2022,38.04,38.25,35.76,37.23,"73,39,576"
01-03-2022,37.31,39.85,37.3,38.21,"56,68,004"
12/31/2021,38.41,39.18,37.03,37.1,"55,75,856"
12/30/2021,37.75,40,37.5,38.83,"62,47,528"
12/29/2021,36.96,38.87,35.54,38.48,"81,49,624"
12/28/2021,36.88,39.35,36.6,36.62,"53,37,888"
12/27/2021,38,38.16,35,37.08,"64,61,796"
12/23/2021,38.5,38.75,36.51,38.04,"42,22,156"
12/22/2021,39.58,39.79,38.03,38.5,"41,88,616"
12/21/2021,39.27,40.06,38.79,39.53,"57,20,952"
12/20/2021,38.3,39.92,37.43,39.29,"73,14,244"
12/17/2021,35.94,39.64,34.83,38.91,"1,72,46,480"
12/16/2021,38.23,38.61,35.53,36.15,"86,59,048"
12/15/2021,36.87,38,35.28,37.15,"1,10,63,968"
12/14/2021,32.75,37.59,32.38,36.92,"2,60,48,532"
12/13/2021,40.08,40.22,33.77,34.22,"2,19,44,804"
12-10-2021,39.96,40.58,37,39.75,"1,81,07,440"
12-09-2021,41.75,43.17,37.75,38.94,"2,03,37,360"
12-08-2021,44.15,45.06,42.99,43.41,"1,04,44,780"
12-07-2021,43.8,45.5,42.63,44.45,"78,89,580"
12-06-2021,41.5,43.34,40.8,41.78,"89,14,544"
12-03-2021,45.25,45.98,39.76,43.1,"1,63,86,752"
